"id","country_id","code","fc_name","name","sequence","timestamp"
"2527","194","SA-14","'asīr","'Asīr","8","2016-06-08 00:09:24"
"3347","224","TO-01","'eua","'Eua","1","2016-06-08 00:09:27"
"4774","59","CI-06","18 montagnes (région des)","18 Montagnes (Région des)","15","2016-06-08 00:09:33"
"2974","208","ES-C","a coruña","A Coruña","20","2016-06-08 00:09:26"
"2498","191","WS-AA","a'ana","A'ana","1","2016-06-08 00:09:24"
"766","123","LB-AK","aakkâr","Aakkâr","1","2016-06-08 00:09:17"
"3149","215","CH-AG","aargau","Aargau","1","2016-06-08 00:09:27"
"3818","234","GB-ABE","aberdeen city","Aberdeen City","171","2016-06-08 00:09:29"
"3819","234","GB-ABD","aberdeenshire","Aberdeenshire","172","2016-06-08 00:09:29"
"1822","161","NG-AB","abia","Abia","2","2016-06-08 00:09:21"
"4760","59","CI-AB","abidjan","Abidjan","1","2016-06-08 00:09:33"
"3502","231","UG-317","abim","Abim","5","2016-06-08 00:09:28"
"5208","81","GE-AB","abkhazia","Abkhazia","1","2016-06-08 00:09:36"
"2042","174","PH-ABR","abra","Abra","18","2016-06-08 00:09:23"
"272","109","IT-65","abruzzo","Abruzzo","1","2016-06-08 00:09:16"
"1821","161","NG-FC","abuja federal capital territory","Abuja Federal Capital Territory","1","2016-06-08 00:09:21"
"4075","246","YE-AB","abyān","Abyān","2","2016-06-08 00:09:30"
"1484","15","AZ-ABS","abşeron","Abşeron","13","2016-06-08 00:09:20"
"3641","233","AE-AZ","abū z̧aby","Abū Z̧aby","1","2016-06-08 00:09:29"
"153","103","ID-AC","aceh","Aceh","8","2016-06-08 00:09:15"
"5259","85","GR-13","achaḯa","Achaḯa","14","2016-06-08 00:09:36"
"1761","16","BS-AK","acklins","Acklins","1","2016-06-08 00:09:21"
"1792","16","BS-AC","acklins and crooked islands","Acklins and Crooked Islands","32","2016-06-08 00:09:21"
"2509","192","SM-01","acquaviva","Acquaviva","1","2016-06-08 00:09:24"
"4226","31","BR-AC","acre","Acre","2","2016-06-08 00:09:31"
"4914","65","EG-DK","ad daqahlīyah","Ad Daqahlīyah","1","2016-06-08 00:09:34"
"2208","179","QA-DA","ad dawḩah","Ad Dawḩah","1","2016-06-08 00:09:23"
"1879","166","OM-DA","ad dākhilīyah","Ad Dākhilīyah","1","2016-06-08 00:09:22"
"4418","39","CM-AD","adamaoua","Adamaoua","1","2016-06-08 00:09:32"
"1823","161","NG-AD","adamawa","Adamawa","3","2016-06-08 00:09:21"
"3391","227","TR-01","adana","Adana","1","2016-06-08 00:09:28"
"3503","231","UG-301","adjumani","Adjumani","6","2016-06-08 00:09:28"
"4177","3","DZ-01","adrar","Adrar","1","2016-06-08 00:09:31"
"1249","140","MR-07","adrar","Adrar","1","2016-06-08 00:09:19"
"2349","181","RU-AD","adygeya, respublika","Adygeya, Respublika","1","2016-06-08 00:09:23"
"3392","227","TR-02","adıyaman","Adıyaman","2","2016-06-08 00:09:28"
"1042","131","MK-01","aerodrom","Aerodrom","72","2016-06-08 00:09:18"
"3393","227","TR-03","afyonkarahisar","Afyonkarahisar","3","2016-06-08 00:09:28"
"1814","160","NE-1","agadez","Agadez","2","2016-06-08 00:09:21"
"1566","150","MA-AGD","agadir-ida-outanane","Agadir-Ida-Outanane","17","2016-06-08 00:09:20"
"3504","231","UG-322","agago","Agago","7","2016-06-08 00:09:28"
"1269","141","MU-AG","agalega islands","Agalega Islands","6","2016-06-08 00:09:19"
"621","122","LV-001","aglonas novads","Aglonas novads","1","2016-06-08 00:09:17"
"4775","59","CI-16","agnébi (région de l')","Agnébi (Région de l')","16","2016-06-08 00:09:33"
"292","109","IT-AG","agrigento","Agrigento","21","2016-06-08 00:09:16"
"1282","143","MX-AGU","aguascalientes","Aguascalientes","2","2016-06-08 00:09:19"
"2043","174","PH-AGN","agusan del norte","Agusan del Norte","19","2016-06-08 00:09:23"
"2044","174","PH-AGS","agusan del sur","Agusan del Sur","20","2016-06-08 00:09:23"
"3472","228","TM-A","ahal","Ahal","1","2016-06-08 00:09:28"
"4941","66","SV-AH","ahuachapán","Ahuachapán","1","2016-06-08 00:09:34"
"5044","74","FI-AL","ahvenanmaan lääni","Ahvenanmaan lääni","20","2016-06-08 00:09:35"
"5025","74","FI-01","ahvenanmaan maakunta","Ahvenanmaan maakunta","1","2016-06-08 00:09:35"
"2499","191","WS-AL","aiga-i-le-tai","Aiga-i-le-Tai","2","2016-06-08 00:09:24"
"3329","221","TL-AL","aileu","Aileu","1","2016-06-08 00:09:27"
"1216","138","MH-ALL","ailinglaplap","Ailinglaplap","3","2016-06-08 00:09:19"
"1217","138","MH-ALK","ailuk","Ailuk","4","2016-06-08 00:09:19"
"1898","168","PW-002","aimeliik","Aimeliik","1","2016-06-08 00:09:22"
"5077","75","FR-01","ain","Ain","28","2016-06-08 00:09:35"
"3330","221","TL-AN","ainaro","Ainaro","2","2016-06-08 00:09:27"
"1899","168","PW-004","airai","Airai","2","2016-06-08 00:09:22"
"5078","75","FR-02","aisne","Aisne","29","2016-06-08 00:09:35"
"427","111","JP-23","aiti","Aiti","1","2016-06-08 00:09:16"
"5260","85","GR-01","aitoloakarnanía","Aitoloakarnanía","15","2016-06-08 00:09:36"
"1676","154","NR-01","aiwo","Aiwo","1","2016-06-08 00:09:21"
"740","122","LV-AI","aizkraukles apriņķis","Aizkraukles Apriņķis","120","2016-06-08 00:09:17"
"622","122","LV-002","aizkraukles novads","Aizkraukles novads","2","2016-06-08 00:09:17"
"623","122","LV-003","aizputes novads","Aizputes novads","3","2016-06-08 00:09:17"
"5209","81","GE-AJ","ajaria","Ajaria","2","2016-06-08 00:09:36"
"2676","202","SI-001","ajdovščina","Ajdovščina","1","2016-06-08 00:09:25"
"833","126","LY-AJ","ajdābiyā","Ajdābiyā","35","2016-06-08 00:09:17"
"4970","68","ER-AG","akele guzai","Akele Guzai","7","2016-06-08 00:09:35"
"1858","165","NO-02","akershus","Akershus","1","2016-06-08 00:09:22"
"428","111","JP-05","akita","Akita","2","2016-06-08 00:09:16"
"2045","174","PH-AKL","aklan","Aklan","21","2016-06-08 00:09:23"
"888","128","LT-01","akmenė","Akmenė","11","2016-06-08 00:09:18"
"624","122","LV-004","aknīstes novads","Aknīstes novads","4","2016-06-08 00:09:17"
"3395","227","TR-68","aksaray","Aksaray","5","2016-06-08 00:09:28"
"1824","161","NG-AK","akwa ibom","Akwa Ibom","4","2016-06-08 00:09:21"
"218","105","IQ-AN","al anbār","Al Anbār","1","2016-06-08 00:09:15"
"4964","68","ER-MA","al awsaţ","Al Awsaţ","1","2016-06-08 00:09:35"
"588","119","KW-AH","al aḩmadi","Al Aḩmadi","1","2016-06-08 00:09:17"
"476","113","JO-BA","al balqā’","Al Balqā’","3","2016-06-08 00:09:16"
"4078","246","YE-BA","al bayḑā’","Al Bayḑā’","5","2016-06-08 00:09:30"
"219","105","IQ-BA","al başrah","Al Başrah","2","2016-06-08 00:09:15"
"4458","43","TD-BA","al baţḩah","Al Baţḩah","1","2016-06-08 00:09:32"
